column_0,2008_SW,2008_SW_ct,2008_no_SW,2008_no_SW_ct,2009_SW,2009_SW_ct,2009_no_SW,2009_no_SW_ct,2010_SW,2010_SW_ct,2010_no_SW,2010_no_SW_ct,2011_SW,2011_SW_ct,2011_no_SW,2011_no_SW_ct,2012_SW,2012_SW_ct,2012_no_SW,2012_no_SW_ct,2013_SW,2013_SW_ct,2013_no_SW,2013_no_SW_ct,2014_SW,2014_SW_ct,2014_no_SW,2014_no_SW_ct,2015_SW,2015_SW_ct,2015_no_SW,2015_no_SW_ct,2016_SW,2016_SW_ct,2016_no_SW,2016_no_SW_ct,2017_SW,2017_SW_ct,2017_no_SW,2017_no_SW_ct,2018_SW,2018_SW_ct,2018_no_SW,2018_no_SW_ct,2019_SW,2019_SW_ct,2019_no_SW,2019_no_SW_ct,2020_SW,2020_SW_ct,2020_no_SW,2020_no_SW_ct
56,your,10291,menu,3417,-,12023,bit,4005,go,15106,staff,5393,been,14914,love,5726,go,14260,another,5670,go,13359,way,5385,been,12642,better,4985,will,12181,wait,4633,will,11624,wait,4504,will,11427,2,4421,no,11303,best,4309,no,11447,want,4400,one,12017,try,4317
57,go,10160,lot,3320,when,11983,give,3962,-,14920,menu,5385,really,14865,took,5466,which,13802,way,5636,time,13272,another,5327,will,12309,chicken,4886,been,11880,way,4604,back,11403,2,4389,back,11309,ever,4356,will,11285,chicken,4263,good,11309,customer,4297,back,11487,wait,4303
58,when,9999,came,3301,which,11601,many,3950,been,14563,something,5313,some,14334,menu,5382,time,13745,say,5424,which,13109,love,5096,here,12289,think,4839,back,11806,2,4557,been,11333,way,4376,no,11132,definitely,4206,back,11240,ever,4256,will,11240,ever,4285,about,11466,restaurant,4284
59,-,9943,say,3298,go,11576,definitely,3947,which,14511,find,5243,which,14236,minutes,5366,really,13642,around,5392,here,12774,see,5016,go,12170,wait,4781,go,11560,better,4555,here,11321,new,4301,here,11060,new,4184,service,11034,new,4200,been,11057,definitely,4241,been,11376,nice,4256
60,here,9549,right,3280,your,10861,ever,3929,We,13982,told,5226,only,13747,around,5345,some,13495,love,5381,will,12744,say,5003,back,11954,say,4731,here,11544,ever,4532,no,11157,say,4160,service,10993,way,4173,been,10710,definitely,4171,They,11007,experience,4227,he,10961,little,4244
61,great,9410,staff,3276,here,10835,eat,3902,here,13769,see,5214,It,13486,see,5337,It,13435,chicken,5351,back,12552,chicken,4927,which,11858,ever,4700,no,11336,say,4504,service,11086,better,4137,They,10810,say,4070,They,10662,experience,4171,service,10983,recommend,4191,because,10582,definitely,4205
62,which,9154,definitely,3266,can,10762,see,3863,It,13464,another,5167,what,13452,another,5286,here,13339,see,5200,really,12486,around,4919,no,11562,love,4606,service,11336,pretty,4493,go,10963,experience,4118,been,10626,&,4057,here,10584,&,4070,because,10407,new,4070,she,10438,chicken,4201
63,would,8777,order,3219,been,10626,staff,3850,what,13396,eat,5133,time,13321,chicken,5261,will,13282,menu,5082,no,12373,2,4844,They,11450,2,4577,They,11187,experience,4320,They,10853,&,4062,she,10542,experience,4034,she,10536,way,4023,she,10355,&,4045,your,10396,ever,4192
64,been,8351,ever,3205,only,10290,something,3806,only,13198,asked,5113,-,13304,ever,5255,what,13145,ever,5076,It,12270,new,4828,service,11336,new,4560,which,10845,new,4303,she,10371,pretty,4040,go,10514,customer,4008,because,10203,recommend,3954,go,10301,way,4042,go,10370,see,4111
65,only,8163,can't,3163,It,10120,good.,3794,your,13159,took,5033,here,13184,something,5113,only,12868,2,4972,what,12225,ever,4799,because,11303,&,4508,because,10685,love,4274,because,10263,love,4018,because,9971,called,3945,go,10150,called,3910,here,10226,love,3834,good,10322,call,4098
66,more,8107,well,3140,great,10061,chicken,3776,time,12997,minutes,4965,your,13000,bar,5093,your,12716,something,4868,some,12163,&,4751,only,11301,see,4424,she,10608,see,4256,he,9991,customer,3982,which,9740,recommend,3920,he,9782,say,3903,got,10036,called,3803,them,10252,way,4073
67,has,7990,eat,3064,what,9751,since,3727,can,12743,many,4945,because,12777,2,5059,back,12620,new,4796,only,12085,wait,4722,It,11229,experience,4335,only,10491,think,4227,which,9959,definitely,3977,great,9726,better,3879,got,9759,see,3796,us,9810,see,3778,got,10195,experience,3988
68,what,7971,since,3049,by,9720,well,3681,more,12524,ever,4944,back,12511,eat,5029,-,12370,&,4795,your,11977,since,4534,really,11151,around,4310,great,10352,definitely,4179,great,9945,around,3952,he,9595,around,3849,us,9758,better,3716,he,9786,say,3753,service,9994,say,3916
69,It,7920,every,3013,it's,9611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The""",3665,by,12505,chicken,4922,will,12469,find,4978,because,12347,since,4789,because,11894,next,4497,what,10991,next,4225,what,10349,around,4151,your,9783,see,3937,got,9584,love,3762,great,9635,good.,3711,This,9537,sure,3683,here,9847,right,3764,,,,,,,
70,don't,7838,give,2972,more,9602,right,3608,because,12241,bit,4900,by,12249,&,4956,no,12332,wait,4786,They,11672,bar,4477,she,10876,sure,4214,he,10302,customer,4012,what,9743,recommend,3909,This,9481,see,3740,This,9603,around,3672,great,9533,better,3603,what,9546,love,3759
71,by,7834,sure,2968,We,9394,sure,3559,don't,11889,good.,4893,no,12232,since,4898,by,12046,many,4767,by,11430,sure,4468,great,10867,good.,4179,your,10278,sure,3964,got,9680,called,3892,us,9450,good.,3726,your,9488,love,3609,which,9527,around,3598,order,9466,sure,3688
72,They,7772,night,2967,time,9317,night,3523,back,11860,&,4860,can,12209,many,4808,great,11856,sure,4745,he,11358,experience,4465,your,10835,menu,4172,It,10262,next,3946,us,9651,good.,3879,your,9449,next,3641,which,9454,next,3586,your,9298,well,3585,even,9379,since,3626
73,also,7675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The""",2921,other,8842,&,3505,it's,11818,since,4746,more,12152,last,4786,They,11753,eat,4722,service,11325,right,4448,he,10643,definitely,4170,really,10198,good.,3920,only,9650,sure,3824,only,9361,sure,3565,what,9160,sure,3552,even,9241,good.,3529,This,9315,day,3610,,,
74,time,7472,&,2873,because,8748,said,3480,great,11556,2,4727,got,11539,next,4748,can,11685,next,4694,she,11197,eat,4429,got,10565,since,4090,got,9979,called,3850,It,9631,think,3736,It,9342,friendly,3549,even,8916,table,3503,what,9106,next,3450,only,8998,times,3602
75,our,7421,chicken,2868,don't,8618,can't,3465,no,11543,last,4702,other,11530,good.,4698,more,11571,find,4653,great,11150,many,4397,by,10319,table,4089,even,9688,eat,3841,even,9327,next,3662,what,9315,pretty,3548,only,8881,friendly,3420,only,8872,many,3434,great,8879,around,3564
76,because,7213,good.,2839,They,8438,next,3449,will,11427,sure,4619,great,11526,sure,4672,she,11354,last,4646,more,10952,menu,4388,us,10290,well,4028,us,9663,last,3830,This,9113,last,3656,even,9140,table,3522,It,8875,food.,3414,It,8806,last,3382,us,8784,wanted,3530
77,I'm,7105,selection,2805,back,8375,cheese,3444,other,11419,right,4604,They,11403,wait,4624,got,11275,well,4570,got,10882,find,4385,some,10278,wanted,4015,by,9568,bad,3828,by,8916,well,3655,by,8647,well,3511,by,8768,wanted,3402,them,8780,table,3380,which,8733,car,3486
78,than,7098,new,2754,than,8323,last,3410,got,11259,next,4599,even,11250,bad,4566,service,11174,right,4504,us,10735,well,4374,even,10089,last,3983,This,9325,well,3800,really,8881,wanted,3637,them,8632,food.,3488,them,8724,eat,3396,by,8699,wanted,3361,told,8661,well,3465
79,little,7096,thing,2753,will,8287,took,3371,even,10878,night,4590,don't,11018,bit,4538,other,11156,bar,4490,-,10704,definitely,4363,This,9596,bar,3977,some,9112,table,3791,them,8839,right,3601,really,8579,eat,3488,didn't,8206,right,3366,didn't,8305,times,3354,by,8575,work,3446
80,other,7053,small,2703,has,8274,wait,3344,They,10816,wait,4584,he,10644,well,4536,even,11028,experience,4482,even,10627,good.,4351,more,9549,right,3945,them,9083,recommend,3762,some,8338,since,3537,didn't,8346,last,3471,really,8016,well,3365,told,8080,right,3347,said,8547,last,3356
81,pretty,6586,big,2670,also,7968,lot,3332,than,10816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The""",4571,service,10597,table,4508,he,10994,good.,4472,can,10564,last,4304,can,9417,eat,3931,more,8756,wanted,3757,didn't,8263,eat,3532,My,8207,right,3456,My,7998,many,3344,really,8050,pretty,3344,do,8421,next,3347,,,,,,,,,,,
82,I've,6531,feel,2657,got,7963,another,3330,I'm,10340,well,4548,she,10557,definitely,4503,us,10974,wanted,4455,other,10472,something,4301,other,9300,many,3914,didn't,8714,menu,3749,more,8239,friendly,3529,ordered,8018,wanted,3443,ordered,7748,day,3344,said,7930,day,3329,did,8089,better,3303
83,will,6527,next,2646,I'm,7892,every,3330,service,10218,definitely,4511,than,10497,new,4501,don't,10501,definitely,4439,them,9930,wanted,4250,them,9225,something,3879,My,8597,right,3735,My,8216,many,3514,more,7886,room,3393,told,7707,times,3344,came,7814,3,3301,It,8028,many,3291
84,This,6310,last,2601,I've,7734,small,3290,has,10156,table,4489,it's,10396,right,4444,them,10205,table,4381,don't,9792,table,4216,don't,9110,bad,3850,can,8570,many,3734,other,8064,table,3509,other,7818,many,3352,came,7634,pretty,3325,My,7793,friendly,3243,never,7976,can't,3289
85,even,6300,worth,2588,little,7727,thing,3206,us,10070,bad,4483,us,10387,night,4378,than,10014,bit,4281,This,9699,room,4135,didn't,9068,room,3847,don't,8420,since,3702,ordered,8014,times,3416,came,7690,think,3349,said,7634,last,3310,ordered,7788,room,3241,didn't,7962,need,3190
86,back,6250,place.,2587,no,7716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
